,phrase,label,sentiment,subjectivity,language,count
Deutschland,,,,,,
Berlin,,,,,,
Brandenburg,,,,,,
Hessen,,,,,,
Deutschlands,,,,,,
Europa,,,,,,
Rheinland-Pfalz,,,,,,
Bayern,,,,,,
Saarland,,,,,,
Sachsen,,,,,,
Sachsen-Anhalt,,,,,,
Ukraine,,,,,,
Thüringen,,,,,,
NRW,,,,,,
München,,,,,,
Nordrhein-Westfalen,,,,,,
Niedersachsen,,,,,,
USA,,,,,,
Offenbach,,,,,,
Baden-Württemberg,,,,,,
Spanien,,,,,,
Alpen,,,,,,
Hamburg,,,,,,
Italien,,,,,,
Frankreich,,,,,,
Russland,,,,,,
Erde,,,,,,
Regen,,,,,,
Österreich,,,,,,
Bremen,,,,,,
Potsdam,,,,,,
S,,,,,,
Kalifornien,,,,,,
Wetter-Ticker,,,,,,
Teilen</li><li,,,,,,
Glatteis,,,,,,
Drucken</li><li,,,,,,
E-Mail</li><li,,,,,,
Schleswig-Holstein,,,,,,
Bund,,,,,,
Stadt,,,,,,
Düsseldorf,,,,,,
Bayerns,,,,,,
Mallorca,,,,,,
Bergen,,,,,,
Schweiz,,,,,,
Europas,,,,,,
Mexiko,,,,,,
Kommentare</li><li,,,,,,
Staaten,,,,,,
Ibiza,,,,,,
bb,,,,,,
Mecklenburg-Vorpommern,,,,,,
China,,,,,,
Pankow,,,,,,
Harz,,,,,,
Brüssel,,,,,,
Bundesrepublik,,,,,,
Türkei,,,,,,
Frankfurt,,,,,,
Brandenburgs,,,,,,
Stuttgart,,,,,,
Großbritannien,,,,,,
Australien,,,,,,
Oberbayern,,,,,,
Nordsee,,,,,,
Ostsee,,,,,,
Kiew,,,,,,
London,,,,,,
D,,,,,,
Landes,,,,,,
Strompreisbremse,,,,,,
Leipzig,,,,,,
Freistaat,,,,,,
den USA,,,,,,
Syrien,,,,,,
Thüringer Wald,,,,,,
Portugal,,,,,,
Privacy Center,,,,,,
Katar,,,,,,
Gaspreisbremse,,,,,,
Berlins,,,,,,
Japan,,,,,,
Neukölln,,,,,,
Essen,,,,,,
Südafrika,,,,,,
Nebel,,,,,,
Landtag,,,,,,
Kanada,,,,,,
Oder,,,,,,
Hannover,,,,,,
Freier,,,,,,
Eisregen,,,,,,
El Niño,,,,,,
Paris,,,,,,
Wien,,,,,,
Straße,,,,,,
Halle,,,,,,
wolkig,,,,,,
Südtirol,,,,,,
Schnee,,,,,,
Antarktis,,,,,,
Brasilien,,,,,,
Italiens,,,,,,
Rosenheim,,,,,,
Regensburg,,,,,,
G,,,,,,
Süddeutschland,,,,,,
Indien,,,,,,
Landkreis Ebersberg,,,,,,
Berlin-Spandau,,,,,,
Elbe,,,,,,
Norwegen,,,,,,
der Schweiz,,,,,,
Berliner Zoo,,,,,,
Strahlender Sonnenschein,,,,,,
Mittwoch,,,,,,
Schnellcheck,,,,,,
Spandau,,,,,,
Griechenland,,,,,,
Montreal,,,,,,
Wetterlage im Ticker,,,,,,
Rom,,,,,,
Singapur,,,,,,
Franken,,,,,,
Nordatlantik,,,,,,
Ukraine-Kriegs,,,,,,
Miesbach,,,,,,
Niederösterreich,,,,,,
Mannheim,,,,,,
Sachsens,,,,,,
Formentera,,,,,,
Weltnaturkonferenz,,,,,,
Afrika,,,,,,
Kasachstan,,,,,,
Chinas,,,,,,
Mond,,,,,,
Lauterbach,,,,,,
Bonn,,,,,,
Wilhelmshaven,,,,,,
Polen,,,,,,
Australian Open,,,,,,
Vorarlberg,,,,,,
Norditalien,,,,,,
Waldbrandgefahr,,,,,,
Atlantik,,,,,,
Landkreisen,,,,,,
MV,,,,,,
Philippinen,,,,,,
Qualitätsartikel,,,,,,
Niederbayern,,,,,,
Wetter,,,,,,
Brunsbüttel,,,,,,
Landkreis Regen,,,,,,
Dortmund,,,,,,
Tirol,,,,,,
Spaniens,,,,,,
Tal,,,,,,
Thailand,,,,,,
Frankreichs,,,,,,
Köln,,,,,,
New York,,,,,,
Sonne-Wolken-Mix,,,,,,
Silvester,,,,,,
Chile,,,,,,
Monaco,,,,,,
Thüringer,,,,,,
Nürnberg,,,,,,
Union,,,,,,
Athen,,,,,,
Prinzenbad,,,,,,
Afghanistan,,,,,,
Rumänien,,,,,,
Erdbeben in der Türkei,,,,,,
Minusgraden,,,,,,
Zoo Berlin,,,,,,
Karwoche,,,,,,
Gebietsweise,,,,,,
Rostock,,,,,,
Landkreis Dachau,,,,,,
Hessens,,,,,,
Belgien,,,,,,
Augsburg,,,,,,
Wetterwoche,,,,,,
Emilia-Romagna,,,,,,
Le,,,,,,
Schwedt,,,,,,
Rügen,,,,,,
Washington,,,,,,
Scholz,,,,,,
Alberta,,,,,,
Alpenschneehuhn,,,,,,
Preisbremsen,,,,,,
Cherson,,,,,,
Brasiliens,,,,,,
Oberpfalz,,,,,,
Schneien,,,,,,
Saudi-Arabien,,,,,,
Brocken,,,,,,
F,,,,,,
Hitzerekorde,,,,,,
Vorweihnachtswoche,,,,,,
Niederlande,,,,,,
Mildere Temperaturen,,,,,,
Küste,,,,,,
US-Präsident,,,,,,
Gropiusstadt,,,,,,
Corona,,,,,,
Salzburg,,,,,,
Baden-Württembergs,,,,,,
Landesgartenschau,,,,,,
Niederlanden,,,,,,
Mitteldeutschland,,,,,,
bewölkt,,,,,,
Nordbayern,,,,,,
Andalusien,,,,,,
Sonnenschein,,,,,,
Iran,,,,,,
Balkon,,,,,,
Thüringens,,,,,,
Bangkok,,,,,,
Jüterbog,,,,,,
Österreich Trittsiegel,,,,,,
Tag,,,,,,
Wiesbaden,,,,,,
Ludwigshafen,,,,,,
Steiermark,,,,,,
Alpenrand,,,,,,
Postbank-Kunden,,,,,,
Hamburgs,,,,,,
Buffalo,,,,,,
Tschechien,,,,,,
Baden,,,,,,
Mittelmeer,,,,,,
Metropoltheater,,,,,,
Neukölln am Columbiadamm,,,,,,
Melbourne,,,,,,
Asien,,,,,,
EU-Gaspreisdeckel,,,,,,
Südostasien,,,,,,
Kiel,,,,,,
Pakistan,,,,,,
Koblenz,,,,,,
Amerikaner,,,,,,
Asiens,,,,,,
Schweden,,,,,,
Tiroler,,,,,,
Rhein-Main,,,,,,
Lützerath,,,,,,
Hilpoltstein,,,,,,
Glatteisgefahr,,,,,,
Sumpf-Haubenpilz,,,,,,
Rhein,,,,,,
Freiburg,,,,,,
Vereinigten Königreich,,,,,,
Kreuzberg,,,,,,
