week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
0000-00,0.0,1.0,0.0,1.0,1.0
2022-01,0.447213595499958,1.0,-0.447213595499958,1.0,1.0
2022-02,-0.25755957496771187,1.0,-0.6196442885790207,1.0,1.0
2022-07,0.447213595499958,1.0,-0.447213595499958,1.0,1.0
2022-17,-0.22148658662607565,0.7367886649688329,-0.6451763617803468,0.0,3.0
2022-20,0.04935681715081571,0.95593482908097,-0.43229787818087134,0.07244751501109808,3.0
2022-23,-1.099553133580639,1.0,1.1540151248145503,1.0,1.0
2022-24,1.2401004910136466,1.080281780743889,-0.6019244152898509,0.1717257637158696,2.0
2022-26,-0.797179282451745,0.31520816763077497,-0.7246892968258998,0.001889996735537168,2.0
2022-27,-0.2833169097330723,0.41150296906119027,0.9716568996744426,2.3971058008352624,2.0
2022-28,0.047205592227188745,0.6176869994030164,-0.6720698638292857,0.08348259133353168,5.0
2022-30,-0.7985605061033292,0.6769483059126211,-0.09842244926388752,0.8482286999344727,4.0
2022-31,-0.306181084570156,0.46199869241464725,0.18531092319583534,0.8175203815572439,3.0
2022-32,0.26612204467896333,1.0,-0.723352867317781,1.0,1.0
2022-33,1.480053949596407,1.0,-0.6451763617803468,1.0,1.0
2022-34,-0.5368858205019463,0.6833187117172254,0.27344623395295187,1.4134668014494571,2.0
2022-35,-0.44802601273259346,0.9750349289905943,-0.3298566853852684,0.4577485409064974,6.0
2022-36,-0.18232349942931206,0.3232122752831148,-0.5776281156268547,0.19743145506129903,3.0
2022-37,0.17183392995782615,1.4823100253263126,0.39189341210456147,1.2699136164956466,5.0
2022-38,-0.43504350213110593,0.6126113938269153,-0.301162243370768,0.6805326465165076,8.0
2022-39,0.009774119209491915,0.7208379350396311,-0.3675443414301818,0.5019009030893994,13.0
2022-40,0.2675458726683017,0.9945838415637716,-0.18710960459364856,0.9046282875365173,32.0
2022-41,-0.008742008652961137,1.0439010456720332,-0.09858496268945519,0.884070699400425,56.0
2022-42,-0.008107517093667645,1.0628008675509562,0.10749412472733437,1.011384147886919,86.0
2022-43,0.085830983479448,0.9745569261773104,0.137809912478852,1.0539623728890706,113.0
2022-44,-0.13206774647681177,1.0185267171007557,0.023695602907219653,1.0320194627515742,103.0
2022-45,0.018928603998064942,1.0174602190315578,-0.019184220610479422,0.8563201124083636,93.0
2022-46,0.12463802127748116,0.8481998003289827,0.1393782196573521,1.1772550084415265,107.0
2022-47,-0.06326168279912789,0.9106138491579959,-0.10898129853441804,0.7347689517566239,99.0
