topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Frühling,inf,1.0,-0.023042646175742854,0.9431523423070963,1690.0
Herbst,inf,1.0,0.045270642869993494,1.062560734031201,1243.0
Sommer,inf,1.0,0.009374124252033616,1.0002569922653664,1756.0
Winter,-0.05687068333944158,0.9535418596012243,-0.014804700659286598,0.9773874325680497,2016.0
