day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
000-00-00,0.0,0.0,0.0,0.0,4.0
2022-01-05,0.408248290463863,1.0,-0.408248290463863,1.0,1.0
2022-01-14,-0.025745454327903886,1.0,-0.6556931499153315,1.0,1.0
2022-02-14,0.408248290463863,1.0,-0.408248290463863,1.0,1.0
2022-04-19,0.0,1.0,0.0,1.0,1.0
2022-04-27,-0.17490195907467918,0.0,-0.6617222851827662,0.0,2.0
2022-04-30,-1.0736065980332123,1.0,-0.6617222851827662,1.0,1.0
2022-05-16,-1.1545218477287764,1.0,-0.540682938796289,1.0,1.0
2022-05-18,0.408248290463863,1.0,-0.408248290463863,1.0,1.0
2022-05-20,0.8711094891227004,1.0,-0.31622776601683794,1.0,1.0
2022-06-07,-0.7701294958710185,1.0,0.9503496885810961,1.0,1.0
2022-06-17,1.5729098821163856,1.0,-0.6787628804836706,1.0,1.0
2022-06-19,0.559016883020847,1.0,-0.7400281462848273,1.0,1.0
2022-06-24,0.2130835724907321,0.48922357942831185,-0.6365103002454668,0.14639634181651337,2.0
2022-07-03,-0.6437815319091178,0.44788260758950776,-0.658379803906694,0.11546819313643794,2.0
2022-07-05,-0.39407304430924284,1.0,0.9969461849484724,1.0,1.0
2022-07-06,-0.3270807029070634,1.0,-0.7400281462848273,1.0,1.0
2022-07-10,-0.20364039411551485,1.0,-0.6648955481449018,1.0,1.0
2022-07-12,-0.13863033783702944,0.6553690620540721,-0.6696932195583374,0.006784931980690158,2.0
2022-07-13,0.9387729912756657,1.0,-0.7400281462848273,1.0,1.0
2022-07-15,0.3763350029384957,1.0,-0.5329924542061065,1.0,1.0
2022-07-16,-0.3270807029070634,1.0,-0.7400281462848273,1.0,1.0
2022-07-18,-0.6943782383661977,1.0,0.2764017260210088,1.0,1.0
2022-07-25,-0.3270807029070634,1.0,0.9503496885810961,1.0,1.0
2022-07-26,-0.3270807029070634,1.0,-0.7400281462848273,1.0,1.0
2022-07-28,-2.041241452319315,1.0,-0.408248290463863,1.0,1.0
2022-07-31,0.3226356627642956,1.0,-0.423542577732404,1.0,1.0
2022-08-03,-0.3270807029070634,0.0,-0.7400281462848273,0.0,2.0
2022-08-05,0.43047076296862957,1.0,1.1165548896192825,1.0,1.0
2022-08-07,-0.44606495736762825,1.0,0.23049171310384825,1.0,1.0
2022-08-09,0.7840352942030748,1.0,1.7850562762729634,1.0,1.0
2022-08-10,-0.33015541911802193,1.0068532842502338,-0.6365103002454668,0.14639634181651337,2.0
2022-08-15,0.7238026798838542,1.0,-0.6617222851827662,1.0,1.0
2022-08-23,-0.13284973803938277,1.0,-0.5329924542061065,1.0,1.0
2022-08-24,-0.20206907657478443,0.0022221785768957,1.4017316933126778,0.3165137736230467,2.0
2022-08-27,-0.9604823609111722,1.0,-0.5767314615285608,1.0,1.0
2022-08-29,0.29036982970756686,0.9628916098895061,-0.31622776601683794,0.0,2.0
2022-08-30,-0.3270807029070634,1.0,-0.7400281462848273,1.0,1.0
2022-08-31,-0.3270807029070634,1.0,-0.7400281462848273,1.0,1.0
2022-09-02,-1.0179722634345358,1.8124890307639367,0.03533132213780851,0.4971796304438195,2.0
