0,1,2,3,4,word,summary
29510.330491060016,-1.8739671554026445,0.003009712918319572,0.0031468063615019124,0.000307897483219688,summaryOfAllWords,24492.771634715147
252.37953334453246,173.59772002013796,6.256188351919516,-2.3178195913822472,0.11122892810876293,Energiekrise,310.9612034789626
-2.2939052574588716,0.4135526022883483,-0.6659485895466015,0.14442126902446267,-0.18525702058388915,Kosovo,2.9624465445440196
-2.814718872278701,-0.03118708095565529,-0.2876803111693032,0.02610557347129331,-0.07387631827492559,energiekrise kosovo,2.30039681432802
-2.897078529845561,-0.09960936398349635,-0.21701707249214597,0.004263981214665953,-0.05330187609301032,verbietet,2.1972612287189666
-2.897078529845561,-0.09960936398349654,-0.2170170724921457,0.004263981214665218,-0.05330187609300921,kosovo verbiet,2.1972612287189666
-2.969637651139721,-0.15897071756783213,-0.15181299941828622,-0.015799519563191436,-0.034378596987723414,Krypto-Mining,2.107044395504391
-2.969637651139721,-0.15897071756783213,-0.15181299941828622,-0.015799519563191436,-0.034378596987723414,verbiet krypto-mining,2.107044395504391
-0.4171513087261143,1.8483173183873371,0.009882573421901089,1.5186073352046239,-0.07666570923906525,Euronews,5.321440816357998
-3.0387018858639596,-0.2144466845416268,-0.08703062964866808,-0.03563969983859546,-0.015635637272759545,krypto-mining euronews,2.0218677894190282
45.747143728537445,32.70574606625095,1.6055943865260616,-0.2489745902206989,-0.6066939178863437,Die,60.88870534603725
-2.410916366396745,0.312811868327994,-0.5899167678867886,0.12048246225381873,-0.16269318084338874,euronews die,2.8128352276471973
-1.7858362850855423,0.8497538514791547,-0.9509060347185797,0.23461705164622534,-0.2707082251346693,Regierung,3.613474398977759
-3.0319123767081253,-0.2090441930992052,-0.09352063590689139,-0.03365649187357224,-0.017510749762780786,die regierung,2.0302072518366154
-2.8147188722787004,-0.031187080955654912,-0.2876803111693034,0.02610557347129468,-0.0738763182749289,regierung kosovo,2.30039681432802
-2.842480207022113,-0.05435704618467193,-0.2642458231033125,0.01885130345172463,-0.0670453238505153,Verweis,2.2655555875873077
-2.842480207022113,-0.05435704618467193,-0.2642458231033125,0.01885130345172463,-0.0670453238505153,kosovo verweis,2.2655555875873077
-2.232586693580507,0.46636478437781886,-0.7040450169600307,0.15643959422597736,-0.19659843292128742,verweis energiekrise,3.0409406257018947
-2.854893932860898,-0.06468438102535304,-0.253641903336606,0.015572273773287033,-0.06395689244542596,Schürfen,2.2500002797340817
-2.854893932860898,-0.06468438102535304,-0.253641903336606,0.015572273773287033,-0.06395689244542596,energiekrise schürf,2.2500002797340817
-2.963813459823625,-0.15424333782830815,-0.1571528471624837,-0.01415988309892053,-0.03592610059625651,Kryptogeld,2.1142602679233597
-2.963813459823625,-0.15424333782830815,-0.1571528471624837,-0.01415988309892053,-0.03592610059625651,schürf kryptogeld,2.1142602679233597
-2.7507817640718977,0.022521698162940522,-0.34022482084078615,0.04240798953473072,-0.0892209831425263,verboten,2.3808974854551748
-3.0170409193580556,-0.1971698147493928,-0.10764253070745383,-0.029337685061738502,-0.02159287933760309,kryptogeld verbiet,2.0485007200800998
-2.081606029609664,0.49964960516990303,-0.24981464033931944,-0.23194940582975832,0.769059976303928,Laut,3.212947765221421
-3.0650439319878937,-0.2352905057786544,-0.06159440811777042,-0.043402650838650476,-0.008292066201105022,Wirtschafts-,1.9895888667525785
-3.0650439319878937,-0.2352905057786544,-0.06159440811777042,-0.043402650838650476,-0.008292066201105022,laut wirtschafts-,1.9895888667525785
-2.966419850596842,-0.15635976442362245,-0.15476553398491946,-0.014893001841829206,-0.03523420170646494,Energieministerin,2.1110304934197157
-3.1018545868467426,-0.26408277085903137,-0.025356774452085555,-0.054434366715250995,0.0021547079853206056,wirtschafts- energieministerin,1.9446998633455381
-3.1297472927286925,-0.28561375514890114,0.0026496532229580007,-0.06293715382709425,0.010216311788361505,Artane,1.9108698351695588
-3.1297472927286925,-0.28561375514890114,0.0026496532229580007,-0.06293715382709425,0.010216311788361505,energieministerin artan,1.9108698351695588
-3.1385928439707818,-0.29238634599791996,0.011631321582996498,-0.06565960825304264,0.012799412658858396,Rizvanolli,1.9001767954551763
-3.1385928439707818,-0.29238634599791996,0.011631321582996498,-0.06565960825304264,0.012799412658858396,artan rizvanolli,1.9001767954551763
-3.1614506841998002,-0.3097560205907228,0.035066377002948006,-0.07275278649556854,0.019534102965561073,Behörden,1.8726281710868165
-3.1614506841998002,-0.3097560205907228,0.035066377002948006,-0.07275278649556854,0.019534102965561073,rizvanolli behörde,1.8726281710868165
-3.169160703814874,-0.3155703976201628,0.043044902755936754,-0.07516423497029728,0.02182524291439645,herauskriegen,1.8633640145121015
-3.169160703814874,-0.3155703976201628,0.043044902755936754,-0.07516423497029728,0.02182524291439645,behörde herauskrieg,1.8633640145121015
-3.182505715719373,-0.325578917552331,0.056943266764776866,-0.07936066099539013,0.025814276841785316,Cyberwährungen,1.8473638207094525
-3.182505715719373,-0.325578917552331,0.056943266764776866,-0.07936066099539013,0.025814276841785316,herauskrieg cyberwährung,1.8473638207094525
-3.1919628355679652,-0.3326277703045161,0.06686083278501624,-0.08235179806770256,0.028659157715164082,produziert,1.8360525354437125
-3.1919628355679652,-0.3326277703045161,0.06686083278501624,-0.08235179806770256,0.028659157715164082,cyberwährung produzier,1.8360525354437125
-3.2061775194038686,-0.34315174635377044,0.08187472832742548,-0.08687461680673064,0.032963388547356934,zugreifen,1.8190952114964345
-3.2061775194038686,-0.34315174635377044,0.08187472832742548,-0.08687461680673064,0.032963388547356934,produzier zugreif,1.8190952114964345
