keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Blätter',0.8532799253606349,0.9049916913214988,-0.04426543494774108,0.9125240798921813,7.0
'Energiekrise',-0.050128806004242014,0.9403264787432473,0.06565635191915797,1.058062581343479,456.0
'Freibad',0.41884756263131484,0.9727914874592732,-0.4350292177157635,0.28170536653371286,4.0
'Glatteis',0.20092971941473584,1.1673831665054206,0.07197290566888119,0.7610517397795888,12.0
'Hitze',-0.13336396484131366,0.9546056819716188,0.1568137596439139,0.9739973594814069,27.0
'Igel',-0.00016866719818471032,0.9253374944074095,0.02507830175803205,0.39833584827287105,11.0
'Jahreswechsel',-0.06295345290881621,0.7102353336670283,-0.31662061659056856,0.7615837360064037,22.0
'Laub',-0.309579186774802,1.2781358344411786,0.1861562183965115,1.0864448056345597,15.0
'Natur',0.1425661121812179,1.036187192013728,0.037312340375159445,0.9326727057718317,22.0
'Regen',-0.06628413444991901,0.7495062281734736,-0.2641482849978688,0.43953795755445335,20.0
'Rekordwerte',-0.20197304000914418,0.9540535328425273,-0.0817176664422962,0.5578679455828639,8.0
'Schlitten',0.44859426977200395,1.058146312960766,-0.14948862995559223,0.944712622246614,12.0
'Schnee',-0.11788128760139793,0.7766974478175707,-0.15668246019688972,0.6793860115989337,65.0
'Sonne',0.19399384890689483,1.0448544470391856,0.027157267063661443,1.0267117899286884,29.0
'Temperaturen',0.5894176264340902,1.1539541359856573,-0.17185801115518054,0.6832193770273699,49.0
'Vögel',-0.39875569376472675,0.9478838949788019,-0.2016752162820171,1.071027113871767,18.0
